title,location,snippet,salary,source,type,link,company,updated,id,Country
Canadian Public Sector Management Consultant - British Columbia,Canada,"&nbsp;...Req ID: 313392

 NTT <b>DATA </b>strives to hire exceptional, innovative and passionate individuals who want to grow with us. If you want to be part of an inclusive, adaptable, and forward-thinking organization, apply now. 

 We are currently seeking a Canadian Public Sector...&nbsp;",,careers-inc.nttdata.com,,https://jooble.org/jdp/2483651954061418810,"NTT DATA, Inc.",2025-04-09T00:00:00.0000000,2483651954061418810,Canada
RQ00406-Business Analyst - Intermediate,Canada,"&nbsp;...Business <b>Analyst </b>
 The Business Analyst will partner with the product team and key stakeholders on Residential capital projects related to new product launches. The primary focus of this position is to identify and document project requirements to enable discovery, designs...&nbsp;",,catsone.com,,https://jooble.org/jdp/-5809806248907644989,emergiTEL Inc.,2025-03-27T00:00:00.0000000,-5809806248907644989,Canada
UKG Pro Workforce Management Advanced Scheduler Consultant,Canada,"&nbsp;...go-live. This is a functional consulting position; however, knowledge of the technical aspects of software implementations such as <b>Data </b>Import/Export, System Integration or Report Writing is a plus. Qualified candidates will possess outstanding customer service skills...&nbsp;",,catsone.com,,https://jooble.org/jdp/-1133008480756797619,Sability,2025-03-10T00:00:00.0000000,-1133008480756797619,Canada
RQ00402- Senior Business Intelligence (BI) Analyst,Canada,"&nbsp;...office, 2 days remote)
ROLE: Senior Business Intelligence (BI) <b>Analyst </b>
Reporting to the Manager, National Capex Controls, the Senior...&nbsp;&nbsp;...•Develop, automate, and maintain complex Power BI dataflows, <b>data </b>warehouses, reports, and dashboards to provide meaningful insights...&nbsp;",,catsone.com,,https://jooble.org/jdp/-7940296866387821442,emergiTEL Inc.,2025-03-13T00:00:00.0000000,-7940296866387821442,Canada
Master Data Entry Clerk,Canada,"&nbsp;...Master <b>Data </b>Entry Clerk 
 
 JOB-10043948
 
 Anticipated Start Date 
 April 28, 2025
 
 Location 
 Branchburg, NJ 
 
 Type of Employment 
 Contract Hire 
 
 Employer Info 
 Our client is a world leader in gases, technologies and services used in many industries...&nbsp;",,hppstaffing.com,Full-time,https://jooble.org/jdp/5620053715185750481,Dynamics ATS,2025-04-15T11:15:45.0895166+00:00,5620053715185750481,Canada
Data Engineer III,Canada,"&nbsp;...<b>Data </b>Engineer III 
 
 JOB-10043933
 
 Anticipated Start Date 
04/08/2025
 
 Location 
 Houston, TX 
 
 Type of Employment 
 Contract-to-Hire 
 
 Employer Info 
 Our client is an American natural gas and crude oil pipeline company with headquarters in Houston...&nbsp;",,hppstaffing.com,Full-time,https://jooble.org/jdp/-5180865396981030487,Dynamics ATS,2025-04-11T00:00:00.0000000,-5180865396981030487,Canada
Senior Data Engineer,Canada,"&nbsp;...Senior <b>Data </b>Engineer 
 
 JOB-10043902
 
 Anticipated Start Date 
 May 05, 2025
 
 Location 
 New York, NY 
 
 Type of Employment 
 Contract Hire 
 
 Employer Info 
 Our client provides top-ranked care, dozens of inpatient and outpatient specialties, and...&nbsp;",,hppstaffing.com,Full-time,https://jooble.org/jdp/-817871611034348439,Dynamics ATS,2025-04-08T00:00:00.0000000,-817871611034348439,Canada
"Data Engineer (Data Designing, ETL, ELT, Microsoft SQL Server, Oracle, Snowflake, AWS, Azure, data integration, Data Movement, on premise - off premise, SSIS, Snowflake, Dell Boomi) in Middletown, RI",Canada,"<b>Data </b>Engineer (Data Designing, ETL, ELT, Microsoft SQL Server, Oracle, Snowflake, AWS, Azure, data integration, Data Movement, on premise - off premise, SSIS, Snowflake, Dell Boomi) in Middletown, RI
Data Migration, Data Strategy, Dell Boomi, ETL, Oracle, Snowflake, SQL...&nbsp;",,DBA Web Technologies,,https://jooble.org/jdp/-5867715237604660142,DBA Web Technologies,2024-11-28T12:01:13.2032636+00:00,-5867715237604660142,Canada
Sr Data Architect,Canada,"&nbsp;...We're looking for an experienced and highly analytical leader to join our client's Enterprise <b>Data </b>Platform team as a Senior Data Architect. Reporting to the Capability Lead – Data Architecture, you will play a key role in shaping and governing our data platform architecture...&nbsp;",,catsone.com,,https://jooble.org/jdp/-3772683112727832837,Syndesus,2025-02-26T08:41:53.6330000,-3772683112727832837,Canada
Total Rewards Analyst,Canada,"&nbsp;...Total Rewards <b>Analyst </b>
 
 JOB-10043833
 
 Anticipated Start Date 
 June 23, 2025
 
 Location 
 Taylor, TX 
 
 Type of Employment 
 Contract Hire 
 
 Employer Info 
 Our client is a membership-based, nonprofit corporation dedicated to ensuring the reliability...&nbsp;",,hppstaffing.com,Full-time,https://jooble.org/jdp/-6614642184635963559,Dynamics ATS,2025-03-27T00:00:00.0000000,-6614642184635963559,Canada
Configuration Management Analyst,Canada,"&nbsp;...organization. 

 Job Description 
 As a Configuration Management <b>Analyst,</b> you will provide analytical and technical support to...&nbsp;&nbsp;...communicate configuration changes. 
 Maintain relationships between <b>data </b>records / work products within CM system. 
 Review work products...&nbsp;",,gd.com,Full-time,https://jooble.org/jdp/-6588880687383336544,GD Mission Systems,2025-04-03T17:23:52.2045153+00:00,-6588880687383336544,Canada
Bilingual Pension Analyst,Canada,"&nbsp;...Pension <b>Analyst,</b> Employer Services 
 This role is important because you will be the front-line pension administrator responsible for...&nbsp;&nbsp;...support the contribution reconciliation process and the annual <b>data </b>collection of member data, and contribute to annual member statement...&nbsp;",,jobs.acarasolutions.com,Full-time,https://jooble.org/jdp/5877286359588786,Acara Solutions,2025-02-05T17:14:59.3730000,5877286359588786,Canada
"Sr. Analyst, Compensation",Canada,"&nbsp;...are looking for a detail-oriented and proactive Sr. Compensation <b>Analyst </b>to lead key HR programs, including compensation, relocation,...&nbsp;&nbsp;...transparency to ensure compliance. 
 Conduct regular audits to maintain <b>data </b>accuracy and adherence to company policies and regulations....&nbsp;",,catsone.com,,https://jooble.org/jdp/963963526871995178,Bimbo Canada,2025-03-21T14:34:33.3030000,963963526871995178,Canada
Change Management Analyst,Canada,"&nbsp;...Change Management <b>Analyst </b>
 
 JOB-10043844
 
 Anticipated Start Date 
 April 28,2025
 
 Location 
 Chesterfield, MO 
 
 Type of Employment 
 Contract 
 
 Employer Info 
 As a global leader in agriculture enterprise, our client is recognized for their multiple...&nbsp;",,hppstaffing.com,Full-time,https://jooble.org/jdp/-2875065082479102069,Dynamics ATS,2025-04-08T00:00:00.0000000,-2875065082479102069,Canada
2025-21 Identity Analyst,Canada,"&nbsp;...Job Description: 
As an Identity <b>Analyst </b>you will be a strong team player with a knack for solving complex problems and translating technical information into action items. You’ll be accountable for assessing current Identity and Access processes and working with the...&nbsp;",,catsone.com,,https://jooble.org/jdp/-2030654813730119625,emergiTEL Inc.,2025-04-14T00:00:00.0000000,-2030654813730119625,Canada
"Analyst Intern, Internal Audit and IT Audit & Assurance - Co-op/Intern 2026 - Multiple Locations",Canada,"&nbsp;...day look like? 
 
 As an Internal Audit or IT Audit & Assurance <b>analyst,</b> you can expect to have a dynamic and exciting internship that...&nbsp;&nbsp;...methodologies, business and IT operations, IT risk, analytics and <b>data </b>should apply. While not mandatory for an applicant, these roles...&nbsp;",,successfactors.com,,https://jooble.org/jdp/-6009122828579734107,Deloitte,2025-04-13T02:46:48.8100000,-6009122828579734107,Canada
PO Processing Analyst,Canada,"&nbsp;...business, presenting new ideas and providing excellent customer service. 
 CRH Canada  is currently hiring a  Purchase Order Processing <b>Analyst </b> to join their growing team!

 Who we are 
Recognized as one of Greater Toronto's Top 100 Employers, CRH Canada and it’s...&nbsp;",,jobs.oldcastle.com,,https://jooble.org/jdp/-3149356738592659288,CRH Canada,2025-04-14T17:15:27.9500616+00:00,-3149356738592659288,Canada
"Analyst III, Security Operations",Canada,"&nbsp;...always pursuing excellence to exceed our ambitions goals, rewarding both the goal outcome and how we achieve it. 
Purpose
As the <b>Analyst </b>III, Security Operations will be responsible for maintaining the confidentiality, integrity and availability of information assets...&nbsp;",,isc.sans.edu,,https://jooble.org/jdp/5048360427505993703,Liberty Utilities,2025-03-24T21:37:12.2828274+00:00,5048360427505993703,Canada
Functional Analyst / Dynamics 365 F&O-78644,Canada,"&nbsp;...Job Description: 


We are currently implementing our Dynamics 365 F&O ERP system, and we are looking for a Functional <b>Analyst </b>/ Dynamic Tester to join our team. This person will play a key role in validating the financial portion of the ERP, including project management...&nbsp;",,catsone.com,,https://jooble.org/jdp/-5299641218399985493,emergiTEL Inc.,2025-04-14T23:17:27.9854570+00:00,-5299641218399985493,Canada
Senior Process Improvement Analyst,Canada,"&nbsp;...Senior Process Improvement <b>Analyst </b>
 
 JOB-10043678
 
 Anticipated Start Date 
 June 2, 2025
 
 Location 
 Taylor, TX 
 
 Type...&nbsp;&nbsp;...business goals and foster a culture of continuous improvement. A <b>data-</b>driven approach will be used to track process effectiveness,...&nbsp;",,hppstaffing.com,Full-time,https://jooble.org/jdp/8054039493928693228,Dynamics ATS,2025-03-05T12:18:38.2552312+00:00,8054039493928693228,Canada
Vineyard Equipment Repair Specialist,Canada," Job Description: 
   Anderson Vineyards, INC 
 Title: Vineyard Equipment Repair Specialist 
 Reports to: Director of Vineyard Operations & Vineyard Managers 
 Status: Hourly Non -Exempt 
 Compensation: $35 - $45 per hour 
 Job Summary: 
 Join our dynamic team at...",,winebusiness.com,Full-time,https://jooble.org/jdp/8281460460295467969,"Anderson Vineyards, INC Anderson Vineyards, Inc",2025-04-14T08:53:31.9053927+00:00,8281460460295467969,Canada
Sr Building Automation Program Specialist,Canada," As a  Sr Building Automation Program Specialist  here at Honeywell, you will play a critical role in managing and executing  building automation  programs. You will be responsible for defining project scope, objectives, and deliverables in collaboration with cross-functional...",,honeywell.com,,https://jooble.org/jdp/2979423706528173671,Honeywell,2025-04-11T21:26:24.4570000,2979423706528173671,Canada
Real Estate Listing Specialist,Canada,"&nbsp;..., professional photography, and marketing materials for listings.
•  Write compelling listing descriptions  and ensure accurate MLS <b>data </b>entry.
•  Develop and implement marketing plans  to maximize property exposure through online platforms, social media, and print advertising...&nbsp;",,wizehire.com,,https://jooble.org/jdp/7026571112403298186,The Bagga Team with Royallepage Magna,2025-03-15T00:00:00.0000000,7026571112403298186,Canada
Engineering Improvement Specialist,Canada,"&nbsp;...into our development environment. 
 If you were in the role today, here is what you could be working on: 
 Collecting and analyzing <b>data:</b> gather and analyze data, performance metrics and key performance indicators to quantify process inefficiencies and track...&nbsp;",,gd.com,Full-time,https://jooble.org/jdp/-1509603415698329399,GD Mission Systems,2025-04-14T16:35:26.5881797+00:00,-1509603415698329399,Canada
Oral Medicine and Oral Pathology Specialist,Canada, Dalhousie University’s Faculty of Dentistry is seeking applications from specialist in Oral Medicine and Oral Pathology for a full-time tenure-stream position at the rank of Assistant or Associate Professor in the Department of Oral and Maxillofacial Sciences. 50% of the...,,academiccareers.com,Full-time,https://jooble.org/jdp/-5329261730517598675,"Dalhousie University, Faculty of Dentistry",2025-04-14T15:32:25.4992899+00:00,-5329261730517598675,Canada
Research and Development Specialist,Canada,"&nbsp;...lab environment, actively participating in lab safety roles and protocols 
 Adhere to best practices for lab notebook documentation, <b>data </b>storage, and backup procedures 
 Perform and document inventory of chemicals and lab consumables 
 Safely handle hazardous...&nbsp;",,hppstaffing.com,Full-time,https://jooble.org/jdp/-2640991155052472735,Dynamics ATS,2025-04-10T09:33:42.2768139+00:00,-2640991155052472735,Canada
Senior QA Specialist - Remote,Canada,"&nbsp;...Req ID: 320770
 NTT <b>DATA </b>strives to hire exceptional, innovative and passionate individuals who want to grow with us. If you want to be part of an inclusive, adaptable, and forward-thinking organization, apply now. 
 We are currently seeking a  Senior QA Specialist...&nbsp;",,careers-inc.nttdata.com,,https://jooble.org/jdp/-1521725850418913714,"NTT DATA, Inc.",2025-04-07T14:38:51.5600000,-1521725850418913714,Canada
Real Estate Transaction & Client Care Specialist,Canada,"&nbsp;...satisfaction.
 Market Knowledge Client Advisory • Stay updated on  local real estate market trends, property values, and recent sales <b>data </b> to provide valuable insights to clients.
• Assist clients in  understanding market conditions  and making informed real estate...&nbsp;",,wizehire.com,,https://jooble.org/jdp/-8310652312195150192,The Bagga Team with Royallepage Magna,2025-03-17T00:00:00.0000000,-8310652312195150192,Canada
Equipment Order Specialist,Canada,"&nbsp;...our customers, and channel partners to assist in the communication of documents and deliverables. (ex. general arrangement drawings, <b>data </b>sheets, etc.)
 Manage and track the mailing of approval and final submittals 
 Work with various departments including...&nbsp;",,hppstaffing.com,Full-time,https://jooble.org/jdp/1021097327825925147,Dynamics ATS,2025-03-24T00:00:00.0000000,1021097327825925147,Canada
Engineering Specialist,Canada,"&nbsp;...information into the Project Approval Tool. 
 Develop databases or document platforms. Upload information into databases and/or generate <b>data </b>bases for technical information. 
 Develop Project Reports. Generate project reports OR design templates for project reports...&nbsp;",,catsone.com,,https://jooble.org/jdp/3051692547113587451,Bimbo Canada,2025-03-14T00:00:00.0000000,3051692547113587451,Canada
Massage Specialist,Canada,"Are you interested in competitive pay, flexible hours, and love working in an environment that feels like family? Let’s talk. Our wellness facility is looking for a seasoned massage therapist to join our growing team. Our ideal candidate is personable, committed to cultivating...",,wizehire.com,,https://jooble.org/jdp/-6659813665214068649,Moaliving Physio Massage Clinic,2025-04-08T00:00:00.0000000,-6659813665214068649,Canada
Mid Level Biologist,Canada,"&nbsp;...ideal candidate will support various laboratory operations, including experimental design, media preparation, in vitro cultures, and <b>data </b>analysis, while also assisting with plant growth and maintenance. 
 
 Job Description 
 Support laboratory operations, including...&nbsp;",,hppstaffing.com,Full-time,https://jooble.org/jdp/87658896084583414,Dynamics ATS,2025-04-08T00:00:00.0000000,87658896084583414,Canada
Entry Level Plant Biologist,Canada,"&nbsp;...contribute to real-world agricultural advancements. This position blends hands-on plant care with opportunities for experimental design, <b>data </b>analysis, and impactful research that directly informs field production strategies. 
 
 Job Description 
 Will participate in the...&nbsp;",,hppstaffing.com,Full-time,https://jooble.org/jdp/-8994783392682999080,Dynamics ATS,2025-04-14T05:33:35.3549109+00:00,-8994783392682999080,Canada
Entry Level Biologist,Canada,"&nbsp;...an Entry Level Biologist job, then this is the best role for you. Be a vital part of daily research activities, collecting/recording <b>data </b>and assisting in other tasks to facilitate timely completion of projects. 
 
 Job Description 
 Assist scientists with experiment...&nbsp;",,hppstaffing.com,Full-time,https://jooble.org/jdp/4514729607850996980,Dynamics ATS,2025-04-10T00:00:00.0000000,4514729607850996980,Canada
Mid Level Biologist,Canada,"&nbsp;...and maintenance of the area. 
 Focus on plant care, including planting, watering, disease application, rating plant diseases, and <b>data </b>collection. 
 Additional opportunities in plant pathology screening of nematodes may also be available. 
 
 Skills Required 
 Strong...&nbsp;",,hppstaffing.com,Full-time,https://jooble.org/jdp/-1140321584241577188,Dynamics ATS,2025-04-10T17:59:50.8883992+00:00,-1140321584241577188,Canada
2025-12 - Client and Advisor Enablement Specialist,Canada,"&nbsp;...Job Description: Client and advisor enablement specialist - client research focussed 
Top Skills: questionnaire design, <b>Data </b>analysis, data modelling (nice to have), report writing, PowerPoint or google slides skill, survey programming on platforms like qualtrics 
Project...&nbsp;",$50 per hour,catsone.com,,https://jooble.org/jdp/2533243237195789292,emergiTEL Inc.,2025-04-08T00:00:00.0000000,2533243237195789292,Canada
Lead Sourcing Specialist II,Canada," Lead Sourcing Specialist II 
 
 JOB-10043835
 
 Anticipated Start Date 
 April 29, 2025
 
 Location 
 Pasadena, TX 
 
 Type of Employment 
 Contract 
 
 Employer Info 
 Our client develops and deploys the most advanced technologies to serve energy and industrial...",,hppstaffing.com,Full-time,https://jooble.org/jdp/1802909884174991235,Dynamics ATS,2025-03-27T00:00:00.0000000,1802909884174991235,Canada
Data Engineering Manager,Canada,"&nbsp;...Req ID: 313961
 NTT <b>DATA </b>strives to hire exceptional, innovative and passionate individuals who want to grow with us. If you want to be part of an inclusive, adaptable, and forward-thinking organization, apply now. 
 We are currently seeking a Data Engineering Manager...&nbsp;",,careers-inc.nttdata.com,,https://jooble.org/jdp/-1570420313709564691,"NTT DATA, Inc.",2025-04-04T00:00:00.0000000,-1570420313709564691,Canada
Business Intelligence Engineer - 6 month contract,Canada,"&nbsp;...responsible for developing, managing, and deploying 
various business intelligence solutions that will enable the business to transform <b>data </b>into meaningful 
insights. The BI Engineer’s role is to assimilate data from multiple sources into consumable data 
solutions as...&nbsp;",$80 per hour,catsone.com,,https://jooble.org/jdp/-8783111408118821781,hireVouch,2024-12-20T17:36:56.5200000,-8783111408118821781,Canada
Business Intelligence Engineer,Canada,"&nbsp;...Business Intelligence Engineer 
3 days per week in Vaughan office. 
 Are you passionate about building modern <b>data </b>solutions in the cloud? Do you thrive in a fast-evolving environment where data is at the heart of business transformation? We’re looking for a skilled...&nbsp;",$120k,catsone.com,,https://jooble.org/jdp/-5727030595709133779,hireVouch,2025-01-08T17:42:36.3730000,-5727030595709133779,Canada
Optimism Staff Engineer,Canada," About Agora 
 Agora is working towards a new paradigm for group collaboration by creating the tools for communities to work together onchain. This is not yet-another-productivity-saas. We believe that to enable the next era of collaboration, we need software that can ...",,swooped.co,,https://jooble.org/jdp/7892067635750199444,Agora,2025-03-17T13:37:01.9800000,7892067635750199444,Canada
Apptad - Databricks Engineer,Canada,"&nbsp;...QC  Canada (3 days onsite in a week) 
  Employment Type: Contract  
 
  Job Description:  
  We are seeking highly skilled Azure <b>Data </b>Engineer with strong expertise in Databricks to join our data team. The ideal candidate will design, implement and optimize large-...&nbsp;",,ceipal.com,,https://jooble.org/jdp/-1225030285775985557,Apptad Inc,2025-04-09T18:50:14.1713028+00:00,-1225030285775985557,Canada
Encroachment Engineer III,Canada," Encroachment Engineer III 
 
 JOB-10043923
 
 Anticipated Start Date 
4/21/2025
 
 Location 
 Houston, TX 
 
 Type of Employment 
 Contract Hire 
 
 Employer Info 
 Our client is an American natural gas and crude oil pipeline company with headquarters in ...",,hppstaffing.com,Full-time,https://jooble.org/jdp/830666252412721654,Dynamics ATS,2025-04-10T18:00:06.4791406+00:00,830666252412721654,Canada
Digital Ads Specialist,Canada,"&nbsp;...Troubleshoot delivery and ensure that tracking tags and pixels are implemented properly; resolve tracking/reporting discrepancies with <b>data </b>analytics team. 
 Produce actionable, data-driven reporting: In conjunction with data analytics team and vendors, analyze UFCW ad...&nbsp;",,unionjobs.com,,https://jooble.org/jdp/-5946051131733926351,United Food and Commercial Workers,2025-03-27T14:46:16.9628633+00:00,-5946051131733926351,Canada
Digital Specialist - Digital Department,Canada,"&nbsp;...Ability to manage and maintain a communications calendar and help create strategic content plans. 
 Ability to analyze social media <b>data,</b> extract insights, and provide strategic recommendations to improve performance and engagement. 
 Excellent writing, grammar, and...&nbsp;",,unionjobs.com,,https://jooble.org/jdp/-2468125855876025169,United Food and Commercial Workers,2025-03-27T14:46:15.7251877+00:00,-2468125855876025169,Canada
Electrical Engineer,Canada,"&nbsp;...in the principles and practices of engineering NEC, ANSI, IEEE 
~ Knowledge of appropriate software {MS Office, Teams, AutoCAD) and <b>data </b>analysis 
~ Ability to communicate effectively, both verbally and in writing to a diversely educated audience. 
~ Ability to...&nbsp;",,hppstaffing.com,Full-time,https://jooble.org/jdp/-7582165779225308436,Dynamics ATS,2025-04-03T00:00:00.0000000,-7582165779225308436,Canada
Mainframe Engineer/Developer (Onsite Full-time),Canada,"&nbsp;...NTT <b>DATA </b>strives to hire exceptional, innovative and passionate individuals who want to grow with us. If you want to be part of an inclusive, adaptable, and forward-thinking organization, apply now. 

 We are currently seeking a  Mainframe Engineer/Developer (Onsite...&nbsp;",,careers-inc.nttdata.com,,https://jooble.org/jdp/-7731711231091699565,"NTT DATA, Inc.",2025-04-04T15:55:54.5750910+00:00,-7731711231091699565,Canada
Electrical Designer,Canada,"&nbsp;...experience includes, but is not limited to, drawings for electrical systems and equipment on nuclear or industrial process facilities, <b>data </b>centers, central utility plants, or complex building electrical systems. 
~ Hands-on experience using Revit MEP, including...&nbsp;",,hppstaffing.com,Full-time,https://jooble.org/jdp/-5087645707133441834,Dynamics ATS,2025-04-08T00:00:00.0000000,-5087645707133441834,Canada
Track Maintenance Engineer,Canada,"&nbsp;...incidents. 
 Utilise existing business tools to determine the appropriate corrective actions following an event. 
 Support Analysis of <b>data </b>from system downloads to determine the appropriate corrective actions following an event. 
 Review the Track defect position to...&nbsp;",,jobs.acarasolutions.com,Temporary,https://jooble.org/jdp/-7118954579495709203,Acara Solutions,2025-03-21T10:55:57.6800000,-7118954579495709203,Canada
Maintenance Mechanic,Canada," Maintenance Mechanic 
 
 JOB-10043801
 
 Anticipated Start Date 
 April 28, 2025
 
 Location 
 Houston, TX 
 
 Type of Employment 
 Contract-to-Hire 
 
 Employer Info 
 Our client is a manufacturer specializing in subsea pipeline components and forged products...",,hppstaffing.com,Full-time,https://jooble.org/jdp/8178703759504971107,Dynamics ATS,2025-04-14T00:00:00.0000000,8178703759504971107,Canada
Mechanical Engineer V,Canada,"&nbsp;...requirements.  Projects supported by the group are primarily Power Plants, Oil and Gas processing facilities, Water Treatment Plants and <b>Data </b>Center facilities. 
 
 Job Description 
 Understand and apply state and local codes and standards. (i.e.: IBC, IFC, NFPA, etc.…)...&nbsp;",,hppstaffing.com,Full-time,https://jooble.org/jdp/-7785050028003698638,Dynamics ATS,2025-04-03T00:00:00.0000000,-7785050028003698638,Canada
AltaGas - Facility Maintenance Mechanic,Canada," Job Description 
 AltaGas - Mechanic Technician 
 Are you a seasoned facility maintenance expert with a knack for developing and leading teams? The AltaGas Harmattan facility has an immediate need for a dynamic Mechanic who excels in troubleshooting complex problems ...",,troopstoenergy.jobs,,https://jooble.org/jdp/1098131813494759471,,2025-04-13T04:40:15.5189418+00:00,1098131813494759471,Canada
Junior CAD/Drafting Technologist,Canada," ROLE 
 SMJV is recruiting for a competent, enthusiastic, and dynamic Junior CAD/Drafting Technologist to support ongoing energy infrastructure construction projects across North America. This role reports to both the Digital Design Lead, as well as project-based engineering...",,tamrecruiting.com,Full-time,https://jooble.org/jdp/-2227970864459588284,Surerus Murphy Joint Venture,2025-04-15T00:00:00.0000000,-2227970864459588284,Canada
Electrical Engineer V,Canada,"&nbsp;...research and develops recommendations for equipment and/or materials selection. 
 Oversees collection, assimilation, and management of <b>data </b>for engineering work. 
 Prepares complex engineering calculations following standard methods and principles. 
 Manages assigned...&nbsp;",,hppstaffing.com,Full-time,https://jooble.org/jdp/3503804960445479314,Dynamics ATS,2025-04-03T00:00:00.0000000,3503804960445479314,Canada
Senior Process Engineer,Canada,"&nbsp;...packages for identified items. The responsibilities of the Process Engineer include designing and recognizing patterns, collecting <b>data,</b> implementing methodologies, and providing mitigation packages to field engineers for project execution. Ultimately, the role is to...&nbsp;",,hppstaffing.com,Full-time,https://jooble.org/jdp/-4672712427577367412,Dynamics ATS,2025-04-10T00:00:00.0000000,-4672712427577367412,Canada
Senior Mechanical Engineer,Canada,"&nbsp;...in process system design and will be capable of developing design documents, including piping and instrument diagrams and equipment <b>data </b>sheets, that incorporate the applicable design and nuclear safety requirements. 
 You will be interfacing and coordinating with other...&nbsp;",,hppstaffing.com,Full-time,https://jooble.org/jdp/2248883709842474701,Dynamics ATS,2025-03-26T00:00:00.0000000,2248883709842474701,Canada
